leverage,volatility,predicted_tail_probability,ci_low,ci_high,observed_leverage_min,observed_leverage_max,fixed_volatility,tail_threshold,n,sample_start,sample_end,method,plot_key,panel,date,window,step,horizon,connectedness_pct,lag_order,stable,row_sum_max_error,error,specification,variables
0.305507992229304,0.531102568578479,0.0543743510844359,0.0338630802130935,0.0862010509384217,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.305508,tail_curve,,,,,,,,,,,
0.343848180197461,0.531102568578479,0.0516776799214681,0.0336115350009556,0.0786639125945305,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.343848,tail_curve,,,,,,,,,,,
0.382188368165618,0.531102568578479,0.0493912970381505,0.033257417796453,0.0727629640895259,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.382188,tail_curve,,,,,,,,,,,
0.420528556133776,0.531102568578479,0.0474205292503186,0.0327423684368477,0.0682147458162636,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.420529,tail_curve,,,,,,,,,,,
0.458868744101933,0.531102568578479,0.0456850265163879,0.0319833876024311,0.0648631180067975,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.458869,tail_curve,,,,,,,,,,,
0.49720893207009,0.531102568578479,0.0441154278863119,0.03095263781134,0.0625146649771388,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.497209,tail_curve,,,,,,,,,,,
0.535549120038248,0.531102568578479,0.0426510429104046,0.0297196602769796,0.0608561248825074,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.535549,tail_curve,,,,,,,,,,,
0.573889308006405,0.531102568578479,0.0412383547050632,0.0284235066772591,0.0594771369550483,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.573889,tail_curve,,,,,,,,,,,
0.612229495974562,0.531102568578479,0.0398301981043852,0.0272071769208563,0.0579608412402701,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.612229,tail_curve,,,,,,,,,,,
0.65056968394272,0.531102568578479,0.0383854941475533,0.026162921501917,0.0559898119539186,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.65057,tail_curve,,,,,,,,,,,
0.688909871910877,0.531102568578479,0.0368694338288754,0.0252901072019605,0.0534596884506008,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.68891,tail_curve,,,,,,,,,,,
0.727250059879034,0.531102568578479,0.0352540027025792,0.0244289818916696,0.0506269005827324,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.72725,tail_curve,,,,,,,,,,,
0.765590247847192,0.531102568578479,0.0335298176632844,0.0231649035419504,0.0483030866289942,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.76559,tail_curve,,,,,,,,,,,
0.803930435815349,0.531102568578479,0.0320886869130715,0.0213417472425599,0.0479820698191278,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.80393,tail_curve,,,,,,,,,,,
0.842270623783506,0.531102568578479,0.0317606197178449,0.0199057986649532,0.0503131037644877,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.842271,tail_curve,,,,,,,,,,,
0.880610811751664,0.531102568578479,0.0334494219344594,0.0201726638229219,0.0549740937172127,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.880611,tail_curve,,,,,,,,,,,
0.918950999719821,0.531102568578479,0.0385452111226789,0.0237123632033844,0.0620666162006197,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.918951,tail_curve,,,,,,,,,,,
0.957291187687978,0.531102568578479,0.0498955626883157,0.0331628160867913,0.0744211728887406,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.957291,tail_curve,,,,,,,,,,,
0.995631375656136,0.531102568578479,0.0741645948949655,0.0483620047954061,0.112111828588637,0,1,0.531102568578479,-0.048599430930199,2263,2020-02-01,2026-04-12,binomial GLM with cubic splines and HAC covariance; descriptive lagged-state association,curve__0.995631,tail_curve,,,,,,,,,,,
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2021-09-10,connectedness,2021-09-10,252,21,10,46.9074473068828,1,True,2.22044604925031e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2021-10-01,connectedness,2021-10-01,252,21,10,50.6179559404816,1,True,2.22044604925031e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2021-10-22,connectedness,2021-10-22,252,21,10,56.9401722950308,1,True,2.22044604925031e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2021-11-12,connectedness,2021-11-12,252,21,10,58.0315819293898,1,True,2.22044604925031e-16,,primary,BTC|ETH|XRP|DOT|ADA
,,,,,,,,,252,,,Pesaran-Shin generalized FEVD,connectedness__2021-12-03,connectedness,2021-12-03,252,21,10,59.7704129544228,1,True,1.11022302462516e-16,,primary,BTC|ETH|XRP|DOT|ADA
